ingredient_name	ingredient_category	compound_name
cooked_apple	fruit	ethyl_benzoate
cooked_apple	fruit	ethyl_butyrate
cooked_apple	fruit	ethyl_cis-4-octenoate
cooked_apple	fruit	ethyl_crotonate
cooked_apple	fruit	ethyl_formate
cooked_apple	fruit	ethyl_heptanoate
cooked_apple	fruit	ethyl_hexanoate
cooked_apple	fruit	ethyl_isobutyrate
cooked_apple	fruit	ethyl_laurate
cooked_apple	fruit	ethyl_nonanoate
cooked_apple	fruit	ethyl_octanoate
cooked_apple	fruit	ethyl_phenylacetate
cooked_apple	fruit	ethyl_propionate
cooked_apple	fruit	ethyl_trans-2-octenoate
cooked_apple	fruit	ethyl_valerate
cooked_apple	fruit	formic_acid
cooked_apple	fruit	furfural
cooked_apple	fruit	furfuryl_alcohol
cooked_apple	fruit	g-hexalactone
cooked_apple	fruit	g-undecalactone
cooked_apple	fruit	geraniol
cooked_apple	fruit	glycerol
cooked_apple	fruit	heptanoic_acid
cooked_apple	fruit	heptyl_acetate
cooked_apple	fruit	heptyl_alcohol
cooked_apple	fruit	heptyl_butyrate
cooked_apple	fruit	hexanal
cooked_apple	fruit	hexanoic_acid
cooked_apple	fruit	hexyl_2-methylbutyrate
cooked_apple	fruit	hexyl_acetate
cooked_apple	fruit	hexyl_alcohol
cooked_apple	fruit	hexyl_butyrate
cooked_apple	fruit	hexyl_formate
cooked_apple	fruit	hexyl_hexanoate
cooked_apple	fruit	hexyl_isobutyrate
cooked_apple	fruit	hexyl_octanoate
cooked_apple	fruit	hexyl_propionate
cooked_apple	fruit	isoamyl_acetate
cooked_apple	fruit	isoamyl_alcohol
cooked_apple	fruit	isoamyl_butyrate
cooked_apple	fruit	isoamyl_formate
cooked_apple	fruit	isoamyl_hexanoate
cooked_apple	fruit	isoamyl_octanoate
cooked_apple	fruit	isoamyl_propionate
cooked_apple	fruit	isoborneol
cooked_apple	fruit	isobutyl_acetate
cooked_apple	fruit	isobutyl_alcohol
cooked_apple	fruit	isobutyl_butyrate
cooked_apple	fruit	isobutyl_formate
cooked_apple	fruit	isobutyl_hexanoate
cooked_apple	fruit	isobutyl_propionate
cooked_apple	fruit	isobutyraldehyde
cooked_apple	fruit	isobutyric_acid
cooked_apple	fruit	isopentylamine
cooked_apple	fruit	isopropyl_acetate
cooked_apple	fruit	isopropyl_alcohol
cooked_apple	fruit	isopropyl_benzoate
cooked_apple	fruit	isovaleric_acid
cooked_apple	fruit	l-_and_dl-alanine
cooked_apple	fruit	l-malic_acid
cooked_apple	fruit	lauric_acid
cooked_apple	fruit	lauryl_alcohol
cooked_apple	fruit	linalool
cooked_apple	fruit	methyl-2-methylbutyrate
cooked_apple	fruit	methyl-2-pyrrolyl_ketone
cooked_apple	fruit	methyl-3-methylthiopropionate
cooked_apple	fruit	methyl_acetate
cooked_apple	fruit	methyl_butyrate
cooked_apple	fruit	methyl_hexanoate
cooked_apple	fruit	methyl_isobutyrate
cooked_apple	fruit	methyl_isovalerate
cooked_apple	fruit	methyl_laurate
cooked_apple	fruit	methyl_myristate
cooked_apple	fruit	methyl_nonanoate
cooked_apple	fruit	methyl_octanoate
cooked_apple	fruit	methyl_valerate
cooked_apple	fruit	methylsulfinylmethane
cooked_apple	fruit	n-butyl-2-methylbutyrate
cooked_apple	fruit	n-butyl_valerate
cooked_apple	fruit	n-nonanal
cooked_apple	fruit	n-octanal
cooked_apple	fruit	n-propyl_hexanoate
cooked_apple	fruit	n-valeraldehyde
cooked_apple	fruit	nonanoic_acid
cooked_apple	fruit	nonyl_acetate
cooked_apple	fruit	nonyl_alcohol
cooked_apple	fruit	octanoic_acid
cooked_apple	fruit	octyl_butyrate
cooked_apple	fruit	oleic_acid
cooked_apple	fruit	p,a,a-trimethylbenzyl_alcohol
cooked_apple	fruit	p-mentha-1,3-diene
cooked_apple	fruit	p-mentha-1,4-diene
cooked_apple	fruit	p-vinylphenol
cooked_apple	fruit	palmitic_acid
cooked_apple	fruit	phenethyl_acetate
cooked_apple	fruit	phenethyl_alcohol
cooked_apple	fruit	phenylacetaldehyde
cooked_apple	fruit	phosphoric_acid
cooked_apple	fruit	propionaldehyde
cooked_apple	fruit	propionic_acid
cooked_apple	fruit	propyl_acetate
cooked_apple	fruit	propyl_alcohol
cooked_apple	fruit	propyl_butyrate
cooked_apple	fruit	propyl_heptanoate
cooked_apple	fruit	propyl_isobutyrate
cooked_apple	fruit	propyl_propionate
cooked_apple	fruit	pyruvaldehyde
cooked_apple	fruit	styrene
cooked_apple	fruit	trans-2-hexenoic_acid
cooked_apple	fruit	undecanal
cooked_apple	fruit	undecyl_alcohol
cooked_apple	fruit	valeric_acid
copaiba	plant derivative	benzyl_alcohol
copaiba_balsam	plant derivative	benzyl_cinnamate
coprosma_foetidissima_leaf	plant	methyl_mercaptan
coriander	spice	(z)-4-dodecenal
coriander	spice	1-decanol
coriander	spice	1-octanol
coriander	spice	2,3,5,6-tetramethylpyrazine
coriander	spice	2,3,5-trimethylpyrazine
coriander	spice	2,4,5-trimethyl_thiazole
coriander	spice	2,6-dimethylpyrazine
coriander	spice	2-acetylpyridine
coriander	spice	2-isopropyl-4-methylthiazole
coriander	spice	2-methoxy-4-vinylphenol
coriander	spice	2-pentylfuran
coriander	spice	2-pentylpyridine
coriander	spice	2-undecenal
coriander	spice	3-methylbutyraldehyde
coriander	spice	3-octen-2-one
coriander	spice	4-hydroxy-4-methyl-5-hexenoic_acid_gamma-lactone
coriander	spice	5-isopropenyl-2-methyl-2-vinyltetrahydrofuran
coriander	spice	6-undecanone
coriander	spice	a-phellandrene
coriander	spice	acetone
coriander	spice	alpha-terpineol
coriander	spice	b-pinene
coriander	spice	borneol
coriander	spice	bornyl_acetate
coriander	spice	carvone
coriander	spice	cis-3-hexenyl_butyrate
coriander	spice	citronellol
coriander	spice	d-camphor
coriander	spice	decanal
coriander	spice	eucalyptol
coriander	spice	geraniol
coriander	spice	geranyl_acetate
coriander	spice	hexyl_alcohol
coriander	spice	isopropyl_myristate
coriander	spice	lauric_aldehyde
coriander	spice	lauryl_alcohol
coriander	spice	limonene_(d-,l-,_and_dl-)
coriander	spice	linalool
coriander	spice	menthol
coriander	spice	myrcene
coriander	spice	n-valeraldehyde
coriander	spice	nerol
coriander	spice	octanoic_acid
coriander	spice	p-cymene
coriander	spice	p-mentha-1,3-diene
coriander	spice	p-mentha-1,4-diene
coriander	spice	p-vinylphenol
coriander	spice	safrole
coriander	spice	terpinolene
coriander	spice	terpinyl_acetate
coriander	spice	undecanal
coriander	spice	undecyl_alcohol
coriander_oil	plant derivative	acetone
coriander_oil	plant derivative	p-cymene
corn	cereal/crop	1-octanol
corn	cereal/crop	1-octen-3-ol
corn	cereal/crop	2,3,5-trimethylpyrazine
corn	cereal/crop	2,3-pentanedione
corn	cereal/crop	2,6,6-trimethylcyclohex-2-ene-1,4-dione
corn	cereal/crop	2-acetyl-2-thiazoline
corn	cereal/crop	2-ethyl-3,5(6)-dimethylpyrazine
corn	cereal/crop	2-heptanol
corn	cereal/crop	2-heptanone
corn	cereal/crop	2-methoxy-4-vinylphenol
corn	cereal/crop	2-methylbutyraldehyde
corn	cereal/crop	2-methylbutyric_acid
corn	cereal/crop	2-methylpyrazine
corn	cereal/crop	2-nonanol
corn	cereal/crop	2-nonanone
corn	cereal/crop	2-octanol
corn	cereal/crop	2-octanone
corn	cereal/crop	2-pentylfuran
corn	cereal/crop	2-tridecanone
corn	cereal/crop	3,5-diethyl-2-methylpyrazine
corn	cereal/crop	3-(methylthio)_propionaldehyde
corn	cereal/crop	3-hexen-1-ol
corn	cereal/crop	3-methyl-2-cyclohexen-1-one
corn	cereal/crop	3-methylbutyl-2-methylpropanoate
corn	cereal/crop	4-(2,6,6-trimethyl-cyclohexa-1,3-dienyl)but-2-en-4-one
corn	cereal/crop	6-methyl-3,5-heptadien-2-one
corn	cereal/crop	6-methyl-5-hepten-2-one
corn	cereal/crop	acetoin
corn	cereal/crop	alpha-terpineol
corn	cereal/crop	b-ionone
corn	cereal/crop	benzyl_benzoate
corn	cereal/crop	cis-3-hexen-1-yl_acetate
corn	cereal/crop	cis-3-hexenyl_formate
corn	cereal/crop	decanal
corn	cereal/crop	dimethyl_trisulfide
corn	cereal/crop	dl-(3-amino-3-carboxypropyl)dimethylsulfonium_chloride
corn	cereal/crop	dl-phenylalanine
corn	cereal/crop	ethyl_formate
corn	cereal/crop	ethyl_heptanoate
corn	cereal/crop	ethyl_hexanoate
corn	cereal/crop	ethyl_myristate
corn	cereal/crop	ethyl_nonanoate
corn	cereal/crop	ethyl_octadecanoate
corn	cereal/crop	ethyl_palmitate
corn	cereal/crop	furfuryl_alcohol
corn	cereal/crop	guaiacol
corn	cereal/crop	heptanoic_acid
corn	cereal/crop	heptyl_alcohol
corn	cereal/crop	hexanoic_acid
corn	cereal/crop	hexyl_acetate
corn	cereal/crop	hexyl_alcohol
corn	cereal/crop	hexyl_formate
corn	cereal/crop	hydrogen_sulfide
corn	cereal/crop	isoamyl_alcohol
corn	cereal/crop	isobutyl_alcohol
corn	cereal/crop	isovaleric_acid
corn	cereal/crop	l-histidine
corn	cereal/crop	l-lysine
corn	cereal/crop	l-phenylalanine
corn	cereal/crop	l-tyrosine
corn	cereal/crop	lauric_acid
corn	cereal/crop	methyl-2-pyrrolyl_ketone
corn	cereal/crop	methyl_mercaptan
corn	cereal/crop	methyl_salicylate
corn	cereal/crop	methyl_sulfide
corn	cereal/crop	methylsulfinylmethane
corn	cereal/crop	myrcene
corn	cereal/crop	n-nonanal
corn	cereal/crop	n-octanal
corn	cereal/crop	nerolidol
corn	cereal/crop	nonanoic_acid
corn	cereal/crop	nonyl_alcohol
corn	cereal/crop	octanoic_acid
corn	cereal/crop	p-vinylphenol
corn	cereal/crop	palmitic_acid
corn	cereal/crop	phenylacetaldehyde
corn	cereal/crop	pyrazine
corn	cereal/crop	pyridine
corn	cereal/crop	pyrrolidine
corn	cereal/crop	thymol
corn	cereal/crop	vanillin
corn	cereal/crop	vanillin,_natural
corn_flake	cereal/crop	dl-phenylalanine
corn_flake	cereal/crop	l-histidine
corn_flake	cereal/crop	l-phenylalanine
corn_flake	cereal/crop	l-tyrosine
corn_grit	cereal/crop	dl-phenylalanine
corn_grit	cereal/crop	l-histidine
corn_grit	cereal/crop	l-phenylalanine
corn_grit	cereal/crop	l-tyrosine
corn_mint	herb	1-octen-3-yl_acetate
corn_mint	herb	2,6-nonadien-1-ol
corn_mint	herb	2-trans,_6-trans-nonadienal
corn_mint	herb	3-hexenyl_phenylacetate
corn_mint	herb	4,5,6,7-tetrahydro-3,6-dimethylbenzofuran
corn_mint	herb	cis-3-hexen-1-yl_acetate
corn_mint	herb	cis-3-hexenyl_formate
corn_mint	herb	cis-3-hexenyl_hexanoate
corn_mint	herb	cis-3-hexenyl_isovalerate
corn_mint	herb	citronellol
corn_mint	herb	d-neomenthol
corn_mint	herb	d-piperitone
corn_mint	herb	eucalyptol
corn_mint	herb	farnesene
corn_mint	herb	geraniol
corn_mint	herb	geranyl_acetate
corn_mint	herb	isobutyraldehyde
corn_mint	herb	isopulegol
corn_mint	herb	jasmone
corn_mint	herb	menthone
corn_mint	herb	nonanoic_acid
corn_mint	herb	p-mentha-1,3-diene
corn_mint	herb	p-mentha-1,4-diene
corn_mint	herb	p-menthan-2-one
corn_mint	herb	pulegone
corn_mint	herb	thymol
corn_mint	herb	valeric_acid
corn_mint_oil	plant derivative	1-octen-3-yl_acetate
corn_mint_oil	plant derivative	2,6-nonadien-1-ol
corn_mint_oil	plant derivative	2-trans,_6-trans-nonadienal
corn_mint_oil	plant derivative	3-hexenyl_phenylacetate
corn_mint_oil	plant derivative	4,5,6,7-tetrahydro-3,6-dimethylbenzofuran
corn_mint_oil	plant derivative	cis-3-hexen-1-yl_acetate
corn_mint_oil	plant derivative	cis-3-hexenyl_formate
corn_mint_oil	plant derivative	cis-3-hexenyl_hexanoate
corn_mint_oil	plant derivative	citronellol
corn_mint_oil	plant derivative	d-neomenthol
corn_mint_oil	plant derivative	d-piperitone
corn_mint_oil	plant derivative	eucalyptol
corn_mint_oil	plant derivative	farnesene
corn_mint_oil	plant derivative	geraniol
corn_mint_oil	plant derivative	geranyl_acetate
corn_mint_oil	plant derivative	isopulegol
corn_mint_oil	plant derivative	nonanoic_acid
corn_mint_oil	plant derivative	p-mentha-1,3-diene
corn_mint_oil	plant derivative	p-mentha-1,4-diene
corn_mint_oil	plant derivative	p-menthan-2-one
corn_mint_oil	plant derivative	pulegone
corn_mint_oil	plant derivative	thymol
corn_mint_oil	plant derivative	valeric_acid
corn_oil	plant derivative	1-octanol
corn_oil	plant derivative	2,6,6-trimethylcyclohex-2-ene-1,4-dione
corn_oil	plant derivative	2-methoxy-4-vinylphenol
corn_oil	plant derivative	2-methylbutyric_acid
corn_oil	plant derivative	2-nonanone
corn_oil	plant derivative	2-octanone
corn_oil	plant derivative	2-tridecanone
corn_oil	plant derivative	3-hexen-1-ol
corn_oil	plant derivative	3-methylbutyl-2-methylpropanoate
corn_oil	plant derivative	4-(2,6,6-trimethyl-cyclohexa-1,3-dienyl)but-2-en-4-one
corn_oil	plant derivative	6-methyl-3,5-heptadien-2-one
corn_oil	plant derivative	6-methyl-5-hepten-2-one
corn_oil	plant derivative	alpha-terpineol
corn_oil	plant derivative	b-ionone
corn_oil	plant derivative	benzyl_benzoate
corn_oil	plant derivative	cis-3-hexen-1-yl_acetate
corn_oil	plant derivative	cis-3-hexenyl_formate
corn_oil	plant derivative	decanal
corn_oil	plant derivative	ethyl_formate
corn_oil	plant derivative	ethyl_heptanoate
corn_oil	plant derivative	ethyl_hexanoate
corn_oil	plant derivative	ethyl_myristate
corn_oil	plant derivative	ethyl_nonanoate
corn_oil	plant derivative	ethyl_octadecanoate
corn_oil	plant derivative	ethyl_palmitate
corn_oil	plant derivative	furfuryl_alcohol
corn_oil	plant derivative	guaiacol
corn_oil	plant derivative	heptanoic_acid
corn_oil	plant derivative	hexanoic_acid
corn_oil	plant derivative	hexyl_acetate
corn_oil	plant derivative	hexyl_alcohol
corn_oil	plant derivative	hexyl_formate
corn_oil	plant derivative	isoamyl_alcohol
corn_oil	plant derivative	isovaleric_acid
corn_oil	plant derivative	lauric_acid
corn_oil	plant derivative	methyl_salicylate
corn_oil	plant derivative	n-nonanal
corn_oil	plant derivative	n-octanal
corn_oil	plant derivative	nerolidol
corn_oil	plant derivative	nonanoic_acid
corn_oil	plant derivative	octanoic_acid
corn_oil	plant derivative	p-vinylphenol
corn_oil	plant derivative	palmitic_acid
corn_oil	plant derivative	phenylacetaldehyde
corn_oil	plant derivative	vanillin
corn_oil	plant derivative	vanillin,_natural
corn_salad	plant	1-methylnaphthalene
corn_salad	plant	2,6,6-trimethylcyclohex-2-ene-1,4-dione
corn_salad	plant	2,6-xylenol
corn_salad	plant	2-methyl-2-pentenal
corn_salad	plant	2-methylpropyl-3-methylbutyrate
corn_salad	plant	2-pentanone
corn_salad	plant	3-methyl-1-pentanol
corn_salad	plant	benzyl_isovalerate
corn_salad	plant	cis-3-hexenyl_isovalerate
corn_salad	plant	hexyl_isovalerate
corn_salad	plant	methyl_heptanoate
corn_salad	plant	methyl_hexanoate
corn_salad	plant	methyl_isovalerate
corn_salad	plant	methyl_octanoate
corn_salad	plant	myrtenol
corn_salad	plant	p-mentha-1,8-dien-7-ol
corn_salad	plant	phenethyl_acetate
corn_salad	plant	phenethyl_alcohol
corn_salad	plant	phenethyl_butyrate
corn_salad	plant	phenethyl_hexanoate
corn_salad	plant	phenethyl_isovalerate
corn_tortilla	cereal/crop	1-octen-3-ol
corn_tortilla	cereal/crop	2,3-diethyl-5-methylpyrazine
corn_tortilla	cereal/crop	2,6-dimethylpyrazine
corn_tortilla	cereal/crop	2-ethyl-3,5(6)-dimethylpyrazine
corn_tortilla	cereal/crop	2-ethylpyrazine
corn_tortilla	cereal/crop	2-heptanone
corn_tortilla	cereal/crop	2-methyl-5-vinylpyrazine
corn_tortilla	cereal/crop	2-methylpyrazine
corn_tortilla	cereal/crop	2-octenal
corn_tortilla	cereal/crop	2-trans,_4-trans-decadienal
corn_tortilla	cereal/crop	3-octen-2-one
corn_tortilla	cereal/crop	b-ionone
corn_tortilla	cereal/crop	n-nonanal
corn_tortilla	cereal/crop	n-octanal
cottage_cheese	dairy	1-decanol
cottage_cheese	dairy	1-octanol
cottage_cheese	dairy	1-octen-3-ol
cottage_cheese	dairy	2,3,5,6-tetramethylpyrazine
cottage_cheese	dairy	2,3,5-trimethylpyrazine
cottage_cheese	dairy	2,3,5-trithiahexane
cottage_cheese	dairy	2,3-dimethylpyrazine
cottage_cheese	dairy	2,5-dimethylpyrazine
cottage_cheese	dairy	2,6-dimethylpyrazine
cottage_cheese	dairy	2,6-dimethylpyridine
cottage_cheese	dairy	2-butanone
cottage_cheese	dairy	2-ethyl-5-methylpyrazine
cottage_cheese	dairy	2-heptanol
cottage_cheese	dairy	2-heptanone
cottage_cheese	dairy	2-hydroxybenzoic_acid
cottage_cheese	dairy	2-methyl-3-butenal
cottage_cheese	dairy	2-methyl-5-vinylpyrazine
cottage_cheese	dairy	2-methylbutyraldehyde
cottage_cheese	dairy	2-methylbutyric_acid
